path,sentence,duration,sr
data/audio/02888.mp3,"Evitem aprovar sentenças de cunho sexista, partidário, intolerante ou com erros gramaticais e ortográficos",10.188,48000
data/audio/02964.mp3,A Valencian Language Academy poderá verificar a qualquer momento os dados declarados pelos candidatos.,9.72,48000
data/audio/03078.mp3,O objetivo desta ordem é regular a estrutura dos programas didáticos na educação básica.,10.476,48000
data/audio/03382.mp3,"Se as cópias fornecidas não corresponderem, elas não serão consideradas.",9.756,48000
data/audio/03383.mp3,"As funções de conselho, supervisão e correção que os Estatutos reservam à sua autoridade.",10.152,48000
data/audio/03469.mp3,"Chuveiro, toalha, torneira, pia, bucha e sabonete",9.756,48000
data/audio/03489.mp3,Os orientaremos sobre maternidade e paternidade,9.756,48000
data/audio/03570.mp3,Eles são como pardais que enchem os espaços e gostam das flores da terra.,9.756,48000
data/audio/03622.mp3,Uma mulher vestindo uma jaqueta preta está andando na calçada,9.744,48000
data/audio/03639.mp3,"Educação física, biologia, medicina, psicologia, direito, ciências sociais e estatística",10.26,48000
data/audio/03704.mp3,"Atividades que promovem pesquisa, conservação e disseminação do patrimônio etnológico da Catalunha.",9.72,48000
data/audio/03718.mp3,Dê a esta série atual uma classificação de um.,9.936,48000
data/audio/03735.mp3,"Se você a tivesse visto três dias antes, teria sido infectada também.",10.116,48000
data/audio/03745.mp3,"Viver juntos significa viver juntos, compartilhar objetivos e ter um bom relacionamento.",10.2,48000
data/audio/03902.mp3,Atribuir aos centros listados no Anexo ou os auxílios econômicos que são indicados.,10.008,48000
data/audio/04117.mp3,A água que coleta as partes externas externas também é derramada no solo adjacente.,9.756,48000
data/audio/04154.mp3,"Boletim de instalação elétrica, com validade anual, da parada ou atração, se aplicável.",10.476,48000
data/audio/04162.mp3,houver necessidade de realização de diligência ou de complementação da instrução,9.936,48000
data/audio/04243.mp3,"integral, interpolação, consecutivos, sucessão, intersecção, conjuntos, propriedades, intervalo, inverso",10.476,48000
data/audio/04319.mp3,Juatuba,9.936,48000
data/audio/04596.mp3,"O documento ambiental apresenta duas alternativas, a escolhida e a alternativa zero.",10.584,48000
data/audio/04674.mp3,"Logo, porém, o círculo de novas idéias é mais ou menos roteado.",10.08,48000
data/audio/04684.mp3,Ele fez tanto ghostwriting que ele começa a se sentir como um fantasma? também.,10.464,48000
data/audio/04757.mp3,"Portanto, uma forte política lingüística seria aceitável para a maioria da população.",10.008,48000
data/audio/05217.mp3,"Em qualquer caso, a Junta na Assembléia, por unanimidade, pode determinar outro critério.",10.404,48000
data/audio/05299.mp3,Inicialize mais rápido.,9.972,48000
data/audio/05384.mp3,A instituição que é completamente inalterada em pessoal é o fóssil,9.984,48000
data/audio/05641.mp3,"Antes de San Martin, vi pão e vinho; depois do verão, fome e frio.",9.684,48000
data/audio/05722.mp3,"galaico-português, Bética, flexiva, Reconquista, ilha das Flores, Lácio, soneto, pluralismo",9.648,48000
data/audio/05788.mp3,"permutações, perpendicular, perpendiculares, interceptam, peso, perímetro, área, volume, pictograma, pirâmide",9.864,48000
data/audio/05855.mp3,A Softcatalà contribuiu para a tradução em catalão de materiais no site da campanha.,9.9,48000
data/audio/05879.mp3,"pó de anjo, valetes de maçã, bars, bennies, brócolos, bolos, turquia fria, calão, gutter",10.26,48000
data/audio/05880.mp3,"peçonha, pictograma, entropia, quelantes, microfiltração, biodegradação, herbicidase, extremófilos",10.08,48000
data/audio/06198.mp3,"cassada, fundamentado, ajuizada, taxa, contribuição, tergiversação, simultânea, sucessivamente, patrocina",10.44,48000
data/audio/06201.mp3,"hepatite, cédulas, aquosa, biodisponibilidade, zumbido, distorção, baque, meia-vida, cardiotóxicos",10.008,48000
data/audio/06257.mp3,Todo brasileiro em situação de vulnerabilidade social terá direito a uma renda básica familiar,9.648,48000
data/audio/06344.mp3,O ponto é que dura no tempo.,9.648,48000
data/audio/06502.mp3,"Portanto, é necessário estabelecer medidas corretivas que permitam mitigar esse possível impacto.",9.936,48000
data/audio/06698.mp3,Qualquer outro que fosse legalmente possível e que não tivesse um caráter comum.,10.152,48000
data/audio/07009.mp3,"Da mesma forma, uma patente pode impedir que concorrentes desenvolvam produtos similares.",10.176,48000
data/audio/07499.mp3,"Reconhece as disfunções comportamentais, analisando os princípios básicos da psicologia geral.",9.756,48000
data/audio/07692.mp3,"Ele geralmente recebe visitas de intérpretes, diretores e produtores de renome internacional.",9.828,48000
data/audio/07702.mp3,"encefalopatia bilirrubínica, endométrio, endometriose, eritrócitos, escara, hemácias, escarlatina, fêmur",9.936,48000
data/audio/07960.mp3,A forma de prestação será a competição por mérito reservada aos oficiais nacionais qualificados.,10.116,48000
data/audio/08254.mp3,Aceso. todos saúdam? frescos? piedosos? alegres? livres.,10.344,48000
data/audio/08278.mp3,"Um, menininha, pulos, corda, através, lote estacionamento",9.936,48000
data/audio/08606.mp3,"quadrilátero, mágico, quadrante, delimitada, quadrantes, quadricelular, quadríduo, quadriênio, quadrilátero",10.548,48000
data/audio/08771.mp3,Gerencie as configurações de segurança do usuário e supervisione-o.,10.512,48000
data/audio/09190.mp3,"deliberação, publicação, veredicto, abstenção, costumes, aplicável, observância, discricionária",10.008,48000
data/audio/09196.mp3,"agorafobia, pânico, generalizada, social, obsessivo-compulsivo, reação aguda, adaptação, dissociativos",9.72,48000
data/audio/09345.mp3,"Eletrobras Furnas, Embelleze, Embratel, Enel, Eneva, Everest, Farmoquímica, Fiago, Forship, Petrópolis, Severiano, Guanabara",10.332,48000
data/audio/09407.mp3,"crocodilagem, crocô, curriola, dança de rato, dar milho, pinote, vacilar, plá, picote, uma banda",10.116,48000
